x1	x2	x3	x4	part_type
-0.46	-0.24	-0.04	-0.31	1
-0.46	-0.31	-0.25	-0.15	1
-0.14	-0.34	-0.01	-0.08	2
-0.14	-0.17	-0.12	0.08	2
0.09	-0.13	0.06	-0.06	1
-0.22	-0.03	0.02	0.05	1
-0.14	-0.19	0.02	0.15	2
-0.14	-0.03	-0.03	0.17	2
-0.06	-0.07	-0.11	0.23	2
-0.18	-0.23	-0.11	-0.23	1
-0.34	-0.27	-0.25	0.02	2
-0.18	-0.25	-0.33	0.07	1
-0.34	-0.12	-0.23	-0.12	2
-0.1	-0.09	-0.12	-0.19	1
-0.1	-0.2	-0.17	-0.09	1
-0.03	-0.1	-0.17	0.04	2
-0.03	0.06	-0.02	0.12	2
-0.1	-0.37	-0.05	0	1
-0.03	-0.16	-0.1	-0.08	2
-0.03	0.09	0.1	0.17	1
0.13	0.4	0.11	0.3	2
-0.18	-0.01	-0.01	0.15	2
-0.03	0.03	0.03	0.23	1
0.05	-0.01	0.07	0.15	1
0.05	0.29	0.23	0.29	1
-0.1	0.02	0.32	0.15	1
-0.1	0.13	0.05	0.26	1
-0.06	-0.46	-0.26	-0.16	2
-0.3	-0.05	-0.28	-0.19	1
-0.38	-0.19	-0.33	-0.18	1
-0.14	-0.13	-0.38	-0.17	2
-0.46	-0.21	-0.24	0.16	2
-0.22	-0.17	-0.21	-0.09	2
-0.14	-0.15	-0.22	-0.23	2
-0.38	-0.04	-0.21	-0.15	1
-0.22	-0.22	-0.01	0.03	2
